"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 20 22:26:05 GMT+08:00 2022","Tue Sep 20 22:26:06 GMT+08:00 2022","670","testcases.gzh_testcases","test_wechat","TestGzh","","","test_fileupload[caseinfo0]",""
"passed","Tue Sep 20 22:26:07 GMT+08:00 2022","Tue Sep 20 22:26:07 GMT+08:00 2022","74","testcases.wechat_testcases","test_b2c","TestLogin","","","test_login_b2c[caseinfo1]",""
"failed","Tue Sep 20 22:26:06 GMT+08:00 2022","Tue Sep 20 22:26:06 GMT+08:00 2022","129","testcases.wechat_testcases","test_b2c","TestLogin","","","test_login_b2c[caseinfo0]",""
"passed","Tue Sep 20 22:26:04 GMT+08:00 2022","Tue Sep 20 22:26:05 GMT+08:00 2022","370","testcases.gzh_testcases","test_wechat","TestGzh","","","test_get_access_token[caseinfo0]",""
"passed","Tue Sep 20 22:26:06 GMT+08:00 2022","Tue Sep 20 22:26:06 GMT+08:00 2022","111","testcases.php_testcases","test_php","TestPhp","","","test_login_phpwind[caseinfo0]",""
"passed","Tue Sep 20 22:26:07 GMT+08:00 2022","Tue Sep 20 22:26:07 GMT+08:00 2022","77","testcases.wechat_testcases","test_b2c","TestLogin","","","test_login_b2c[caseinfo2]",""
"passed","Tue Sep 20 22:26:07 GMT+08:00 2022","Tue Sep 20 22:26:07 GMT+08:00 2022","387","testcases.wechat_testcases","test_b2c","TestLogin","","","test_order_list[caseinfo0]",""
"passed","Tue Sep 20 22:26:06 GMT+08:00 2022","Tue Sep 20 22:26:06 GMT+08:00 2022","163","testcases.php_testcases","test_php","TestPhp","","","test_phpwind_start[caseinfo0]",""
